,Closing Price (Yen),discount_rate
851,322.8,5.84
852,324.01,5.84
853,326.47999999999996,5.84
854,329.42,5.84
855,334.5400000000001,5.84
856,333.23,5.84
857,332.82,5.84
858,330.42,5.84
859,333.48,5.84
860,335.52,5.84
861,341.19,5.84
862,344.76,5.84
863,349.11,5.84
864,353.58,5.84
865,352.09,5.84
866,349.8,5.84
867,343.15999999999997,5.84
868,350.06,5.84
869,351.45,5.84
870,351.1,5.84
871,348.95,5.84
872,347.19,5.84
873,343.72,5.84
874,340.33,5.84
875,343.6,5.84
876,347.47,5.84
877,352.67999999999995,5.84
878,353.81,5.84
879,355.78,5.84
880,358.13,5.84
881,363.29,5.84
882,365.74,5.84
883,370.55,5.84
884,363.81,5.84
885,364.85,5.84
886,363.77,5.84
887,362.05,5.84
888,360.71,5.84
889,356.37,5.84
890,354.31000000000006,5.84
891,355.28,5.84
892,363.52,5.84
893,363.9100000000001,5.84
894,362.64,5.84
895,364.89,5.84
896,367.38,5.84
897,369.66,5.84
898,378.84,5.84
899,379.2300000000001,5.84
900,382.09,5.84
901,392.3399999999999,5.84
902,400.94999999999993,5.84
903,405.74,5.84
904,410.28,5.84
905,416.73,5.84
906,424.9599999999999,5.84
907,421.91999999999996,5.84
908,423.77,5.84
909,429.65999999999997,5.84
910,439.56999999999994,5.84
911,447.4199999999999,5.84
912,445.37999999999994,5.84
913,435.28,5.84
914,439.86999999999995,5.84
915,446.59,5.84
916,452.04,5.84
917,456.42999999999995,5.84
918,455.96999999999997,5.84
919,467.91999999999996,5.84
920,474.42999999999995,5.84
921,471.74,5.84
922,466.42999999999995,5.84
923,458.82,5.84
924,461.87999999999994,5.84
925,443.12999999999994,5.84
926,425.91999999999996,5.84
927,409.41999999999996,5.84
928,414.54999999999995,5.84
929,426.59,5.84
930,433.86,5.84
931,426.4,5.84
932,418.2,5.84
933,421.11999999999995,5.84
934,425.50999999999993,5.84
935,425.99999999999994,5.84
936,419.11,5.84
937,415.49,5.84
938,411.05999999999995,5.84
939,400.10999999999996,5.84
940,392.09999999999997,5.84
941,393.13999999999993,5.84
942,384.95000000000005,5.84
943,378.22,5.84
944,340.41,5.84
945,361.88,5.84
946,377.86,5.84
947,374.14,5.84
948,375.05,5.84
949,371.36,5.84
950,367.44,5.84
951,369.47,5.84
952,368.53,5.84
953,355.29,5.84
954,355.5,5.84
955,357.78,5.84
956,365.41,5.84
957,370.14,5.84
958,366.82000000000005,5.84
959,361.0,5.84
960,352.35,5.84
961,350.3299999999999,5.84
962,348.43,5.84
963,341.99,5.84
964,318.96000000000004,5.84
965,307.05,5.84
